Title,Location,Price,Size,Listing_Type,Link
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,150",109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130077493.html
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",395,60 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130077520.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",250,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130077535.html
"6 Bedrooms Villa For Rent in Qurum, Muscat","Qurum, Muscat","1,500",485 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129524509.html
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","1,500",465 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129866068.html
"2 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",200,110 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130175300.html
"2 Bedrooms Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",550,115 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130247868.html
"2 Bedroom Apartment For Rent Muscat Hills, Muscat","Muscat Hills, Muscat",500,106 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130174884.html
"4 Bedrooms Villa For Rent Al Hail, Muscat","Al Hail, Muscat",630,250 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943575.html
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",225,59 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129609720.html
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","1,250",109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130068872.html
"4 Bedroom Villa For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",900,309 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129419109.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Bosher, Muscat",440,67 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129692789.html
3 Bedrooms Apartment For Rent Ruwi Muscat,"Ruwi, Muscat",380,253 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129693225.html
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",700,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129274051.html
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",200,90 Sq. M.,For Rent,https://www.bayut.om/en/property/details-122073832.html
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat","The Wave (Almouj), Muscat",950,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-127751341.html
"5 Bedroom Villa For Rent in Al Hail, Muscat","Al Hail, Muscat",600,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130257497.html
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat","Al Ghubrah, Muscat",400,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130252987.html
"3 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",850,297 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129757608.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",625,112 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130077526.html
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",950,409 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130163999.html
"2 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",200,107 Sq. M.,For Rent,https://www.bayut.om/en/property/details-104717773.html
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",180,85 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125077619.html
"3 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",350,138 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128670205.html
"8 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","2,500",500 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130163587.html
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",599,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130243700.html
"5 Bedroom Villa For Rent in Azaiba, Muscat","Azaiba, Muscat",625,355 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129866013.html
"1 Bedroom Chalet For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat",50,200 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128920193.html
"4 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat",950,235 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130232999.html
"3 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129244666.html
"5 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","1,200",444 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129524494.html
3 Bedrooms Villa For Rent Qurum Muscat,"Qurum, Muscat","1,200",350 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129274269.html
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,200",109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130174005.html
1 Bedroom Apartment For Rent Muscat The Wave (Almouj),"The Wave (Almouj), Muscat",600,63 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130174072.html
2 Bedrooms Apartment For Rent Al Ghubrah Muscat,"Al Ghubrah, Muscat",275,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130257382.html
"4 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","1,900",10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130252087.html
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",600,82 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130280638.html
"1 Bedroom Apartment For Rent Salalah, Dhofar","Salalah, Dhofar",50,53 Sq. M.,For Rent,https://www.bayut.om/en/property/details-109104649.html
"2 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",350,110 Sq. M.,For Rent,https://www.bayut.om/en/property/details-127446932.html
"3 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",550,200 Sq. M.,For Rent,https://www.bayut.om/en/property/details-109127515.html
"4-Bedroom Villa For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat","1,200",220 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130161900.html
"2 Bedrooms Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",130,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125421608.html
"2 Bedroom Apartment For Rent in Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",325,110 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130197792.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",190,90 Sq. M.,For Rent,https://www.bayut.om/en/property/details-106085486.html
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,350",140 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130153372.html
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,350",143 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130153382.html
"3 Bedroom Apartment For Rent in Qurum, Muscat","Qurum, Muscat",220,165 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129985186.html
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",800,500 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130240229.html
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","1,150",113 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130092294.html
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",900,400 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130224828.html
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",320,77 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130162822.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",275,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129930056.html
"2 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",390,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128914733.html
2 Bedroom Apartment For Rent Muscat (The Wave - Almouj),"The Wave (Almouj), Muscat",900,119 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130170620.html
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",725,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130147348.html
"5 Bedrooms Villa For Rent Azaiba, Muscat","Azaiba, Muscat","1,000",10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-127828658.html
"3 Bedroom Chalet For Rent in Bidiya, Al Sharqiya","Bidiya, Al Sharqiya",50,150 Sq. M.,For Rent,https://www.bayut.om/en/property/details-126665293.html
"5 Bedrooms Villa For Rent Al Hail, Muscat","Al Hail, Muscat",755,400 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129514986.html
"3 Bedroom Apartment For Rent in Al Hail, Muscat","Al Hail, Muscat",600,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130236653.html
"2 Bedrooms Apartment For Rent in Azaiba, Muscat","Azaiba, Muscat",350,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130236688.html
"9 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","1,899",846 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130226978.html
"5 Bedrooms Villa For Rent in Qantab, Muscat","Qantab, Muscat","1,750",350 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130239109.html
"5 Bedroom Villa For Rent in Qantab, Muscat","Qantab, Muscat","1,750",500 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130259043.html
"2 Bedroom Chalet For Rent in Al Amarat, Muscat","Al Amarat, Muscat",50,800 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130150095.html
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat",700,75 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130232592.html
"5 Bedroom Villa For Rent Darsait, Muscat","Darsait, Muscat",400,315 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129672061.html
"1 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",400,90 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130323427.html
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",210,59 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129930016.html
"3 Bedrooms Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",300,240 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130260227.html
"2 Bedrooms Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",180,95 Sq. M.,For Rent,https://www.bayut.om/en/property/details-122943966.html
"2 Bedroom Villa For Rent in Saham, Al Batinah","Saham, Al Batinah",90,80 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250436.html
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat","Al Khuwair, Muscat",250,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129979770.html
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",350,77 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130167049.html
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",799,349 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250495.html
"7 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","1,899",788 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250499.html
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","1,199",145 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250503.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",799,435 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250504.html
5 Bedroom Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat","1,700",300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130249170.html
3 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",430,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130249207.html
"1 Bedroom Apartment For Rent Azaiba, Muscat","Al Khuwair, Muscat",160,188 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130254565.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",300,90 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130251962.html
"2 Bedroom Apartment For Rent Barr Al Jissah, Muscat","The Wave (Almouj), Muscat","1,199",125 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130252338.html
"2 Bedrooms Chalet For Rent Barka, Al Batinah","Barka, Al Batinah",65,"1,200 Sq. M.",For Rent,https://www.bayut.om/en/property/details-130237237.html
"2 Bedrooms Chalet For Rent in Al Amarat, Muscat","Al Amarat, Muscat",50,600 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130149987.html
1 Bedroom Apartment For Rent Al Ghubrah Muscat,"Al Ghubrah, Muscat",330,85 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130326411.html
"5 Bedroom Villa For Rent Azaiba, Muscat","Azaiba, Muscat","1,000",300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130325709.html
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",225,59 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129935085.html
2 Bedrooms Apartment For Rent Qurum Muscat,"Qurum, Muscat",350,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130231316.html
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat","Al Maabilah, Muscat",600,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130322499.html
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat","Al Maabilah, Muscat",120,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-103889235.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",50,140 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130278092.html
"3 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",950,210 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130161853.html
5 Bedroom Villa For Rent in Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",700,370 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130229416.html
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","1,300",490 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129982787.html
"5 Bedrooms Villa For Rent in Barr Al Jissah, Muscat","Barr Al Jissah, Muscat","1,800",500 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130214839.html
"3 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",60,"1,500 Sq. M.",For Rent,https://www.bayut.om/en/property/details-128459836.html
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",850,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875451.html
"1 Bedroom Apartment For Rent Taqah, Dhofar","Taqah, Dhofar",60,65 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129242778.html
"2 Bedrooms Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat",700,129 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130249913.html
1 Bedroom Apartment For Rent Muscat (The Wave - Almouj),"The Wave (Almouj), Muscat",700,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130162672.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130252206.html
"6 Bedroom Villa For Rent Al Khuwair, Muscat","Al Khuwair, Muscat","1,100",615 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130162405.html
"2 Bedrooms Apartment For Rent Saham, Al Batinah","Saham, Al Batinah",110,125 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130158168.html
"3 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",600,32 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129995021.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",200,125 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129985196.html
2 Bedroom Apartment For Rent Bosher Muscat,"Bosher, Muscat",280,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130260759.html
"1 Bedroom Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",140,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130237668.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130147385.html
2 Bedrooms Apartment For Rent Darsait Muscat,"Al Amarat, Muscat",175,110 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129679780.html
"1 Bedroom Apartment For Rent in Misfah, Muscat","Misfah, Muscat",100,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130017250.html
"5 Bedroom Villa For Rent in Qantab, Muscat","Qantab, Muscat","1,749",545 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250485.html
2 Bedrooms Villa For Rent Muscat - Bosher,"Bosher, Muscat",900,132 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130230808.html
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",650,425 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130149756.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,250",240 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130167045.html
"5 Bedrooms Villa For Rent Bosher, Muscat","Al Khoud, Muscat",600,400 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130230336.html
"3 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",750,275 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130321921.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",390,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129577579.html
Studio Apartment For Rent Al Hail - Muscat,"Al Hail, Muscat",160,60 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130236325.html
"4 Bedrooms Villa For Rent Al Maabilah, Muscat","Al Maabilah, Muscat",380,290 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130219851.html
"1 Bedroom Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",220,25 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129977394.html
"4 Bedroom Villa For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","2,500",333 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129894555.html
"Residential Land For Rent - Misfah, Muscat","Misfah, Muscat",900,"1,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129892509.html
"Land Residential For Rent Al Qabil, Al Sharqiya","Al Qabil, Al Sharqiya","6,000",500 Sq. M.,For Rent,https://www.bayut.om/en/property/details-500014888.html
2 Bedrooms Apartment For Rent Al Khuwair Muscat,"Al Khuwair, Muscat",350,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130329654.html
"5 Bedrooms Villa For Rent Al Amarat, Muscat","Al Amarat, Muscat",343,600 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130075131.html
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",275,85 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130151394.html
"2 Bedrooms Apartment For Rent Al Khoud, Muscat","Bosher, Muscat",240,115 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129032100.html
"3 Bedroom Apartment For Rent Bosher, Muscat","Al Ghubrah, Muscat",200,115 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128505199.html
"1 Bedroom Apartment For Rent in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","1,350",140 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130142927.html
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",500,67 Sq. M.,For Rent,https://www.bayut.om/en/property/details-103003040.html
"4 Bedrooms Villa For Rent in Azaiba, Muscat","Madinat As Sultan Qaboos, Muscat",800,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130244066.html
"1 Bedroom Apartment For Rent Qurum, Muscat","Qurum, Muscat",250,90 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130264455.html
"2 Bedrooms Apartment For Rent in Qurum, Muscat","Qurum, Muscat",325,110 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130264462.html
"1 Bedroom Apartment For Rent Azaiba, Muscat","Azaiba, Muscat",300,80 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130225353.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",499,85 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129226531.html
"4 Bedrooms Villa For Rent in Bosher, Muscat","Bosher, Muscat",650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130242274.html
5 Bedrooms Villa For Rent Qantab Muscat,"Madinat As Sultan Qaboos, Muscat","1,400",475 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130239632.html
"1 Bedroom Apartment For Rent Qurum, Muscat","Qurum, Muscat","1,300",80 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130259845.html
3 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",850,115 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130243656.html
4 Bedroom Villa For Rent The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","1,299",330 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130151847.html
"4 Bedroom Villa For Rent in Barr Al Jissah, Muscat","Barr Al Jissah, Muscat","1,750",770 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130152864.html
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",650,450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130210859.html
"5 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","1,600",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129649670.html
"4 Bedroom Apartment For Rent in Bosher, Muscat","Bosher, Muscat",950,280 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130303106.html
"3 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",850,275 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130240606.html
4 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,299",330 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130151849.html
